identifiant_de_l_etablissement;nom_etablissement;type_etablissement;statut_public_prive;adresse_1;adresse_2;adresse_3;code_postal;code_commune;nom_commune;code_departement;code_academie;code_region;ecole_maternelle;ecole_elementaire;voie_generale;voie_technologique;voie_professionnelle;telephone;fax;web;mail;restauration;hebergement;ulis;apprentissage;segpa;section_arts;section_cinema;section_theatre;section_sport;section_internationale;section_europeenne;lycee_agricole;lycee_militaire;lycee_des_metiers;post_bac;appartenance_education_prioritaire;greta;siren_siret;fiche_onisep;position;type_contrat_prive;libelle_departement;libelle_academie;libelle_region;coordx_origine;coordy_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;code_type_contrat_prive;pial;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
0590473U;Ecole maternelle Les P'tits Loups;Ecole;Public;8 bis rue du Revin;;59186 ANOR;59186;59012;Anor;059;09;32;1;0;;;;0327595149;;;ce.0590473U@ac-lille.fr;1;0;0;;;;;;;;;;;;;REP;;21590012700055;;49.98902862396482, 4.104309630283656;SANS OBJET;Nord;Lille;Hauts-de-France;779262.7;6988387.8;EPSG:2154;Circonscription d'inspection du 1er degré d'Avesnes-Fourmies;49.98902862396482;4.104309630283656;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0593252P;;;0594516N;;;09108;SAMBRE AVESNOIS
0590488K;Ecole élémentaire Simone Veil;Ecole;Public;1 rue Jules Ferry;;59410 ANZIN;59410;59014;Anzin;059;09;32;0;1;;;;0327282156;;;ce.0590488K@ac-lille.fr;1;0;0;;;;;;;;;;;;;REP;;21590014300185;;50.37434672787134, 3.5051236578089253;SANS OBJET;Nord;Lille;Hauts-de-France;735982.1;7030857.4;EPSG:2154;Circonscription d'inspection du 1er degré de Valenciennes Anzin;50.37434672787134;3.5051236578089253;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0594301E;;;0592797V;;;09107;VALENCIENNOIS
0590522X;Ecole primaire;Ecole;Public;2 rue de la Mairie;;59285 ARNEKE;59285;59018;Arnèke;059;09;32;1;1;;;;0328423452;;;ce.0590522X@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590018400023;;50.8321148715724, 2.4129096478052703;SANS OBJET;Nord;Lille;Hauts-de-France;658558.4;7081903.2;EPSG:2154;Circonscription d'inspection du 1er degré de Dunkerque Wormhout;50.8321148715724;2.4129096478052703;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0593992U;;;0594358S;;;09105;DUNKERQUE FLANDRE
0590531G;Ecole élémentaire Henri Matisse RPI 23;Ecole;Public;4 route Nationale;;59265 AUBENCHEUL AU BAC;59265;59023;Aubencheul-au-Bac;059;09;32;0;1;;;;0327894547;;;ce.0590531G@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590023400026;;50.25709625160893, 3.15854047419612;SANS OBJET;Nord;Lille;Hauts-de-France;711319.8;7017694.4;EPSG:2154;Circonscription d'inspection du 1er degré de Cambrai-Centre;50.25709625160893;3.15854047419612;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;059023;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0593487V;;;0592767M;;;09109;CAMBRESIS
0590584P;Groupe scolaire Jan de Belle;Ecole;Public;10 rue Saint Jacques;;59270 BAILLEUL;59270;59043;Bailleul;059;09;32;1;1;;;;0328487039;;;ce.0590584P@ac-lille.fr;1;0;1;;;;;;;;;;;;;;;21590043200083;;50.73792538784321, 2.7337205870400036;SANS OBJET;Nord;Lille;Hauts-de-France;681168.3;7071283.0;EPSG:2154;Circonscription d'inspection du 1er degré de Dunkerque-Bailleul;50.73792538784321;2.7337205870400036;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0594636U;;;0594583L;;;09105;DUNKERQUE FLANDRE
0590598E;Ecole primaire les Merlettes;Ecole;Public;29 rue de Marquette;;59554 BANTIGNY;59554;59048;Bantigny;059;09;32;1;1;;;;0327799103;;;ce.0590598E@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590048100023;;50.229865149991504, 3.230559419935127;SANS OBJET;Nord;Lille;Hauts-de-France;716470.8;7014674.4;EPSG:2154;Circonscription d'inspection du 1er degré de Cambrai-Centre;50.229865149991504;3.230559419935127;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0593487V;;;0592767M;;;09109;CAMBRESIS
0590599F;Ecole élémentaire niveau 2 RPI 3;Ecole;Public;81  GRAND'RUE;;59266 BANTOUZELLE;59266;59049;Bantouzelle;059;09;32;0;1;;;;0327785292;;;ce.0590599F@ac-lille.fr;0;0;0;;;;;;;;;;;;;;;21590049900025;;50.06313805831816, 3.2076693365519873;SANS OBJET;Nord;Lille;Hauts-de-France;714884.4;6996104.2;EPSG:2154;Circonscription d'inspection du 1er degré de Cambrai-Sud;50.06313805831816;3.2076693365519873;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;059003;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0590228C;;;0593497F;;;09109;CAMBRESIS
0590602J;Ecole élémentaire Jules Verne;Ecole;Public;Rue des Casernes;;59480 LA BASSEE;59480;59051;La Bassée;059;09;32;0;1;;;;0320292116;;;ce.0590602J@ac-lille.fr;1;0;1;;;;;;;;;;;;;;;21590051500028;;50.532854469983235, 2.8032094421006883;SANS OBJET;Nord;Lille;Hauts-de-France;686025.7;7048417.6;EPSG:2154;Circonscription d'inspection du 1er degré de Lille2-Annoeullin;50.532854469983235;2.8032094421006883;Rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0593231S;;;0595482N;;;09102;LILLE OUEST
0590609S;Ecole maternelle Les peupliers;Ecole;Public;30 rue Ghesquière;;59221 BAUVIN;59221;59052;Bauvin;059;09;32;1;0;;;;0320864231;;;ce.0590609S@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590052300048;;50.506506962392024, 2.8997596817492988;SANS OBJET;Nord;Lille;Hauts-de-France;692878.1;7045469.3;EPSG:2154;Circonscription d'inspection du 1er degré de Lille2-Annoeullin;50.506506962392024;2.8997596817492988;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0595758N;;;0595482N;;;09102;LILLE OUEST
0590663A;Ecole élémentaire les trois arbres;Ecole;Public;255 rue de la Résistance;;59310 BEUVRY LA FORET;59310;59080;Beuvry-la-Forêt;059;09;32;0;1;;;;0320618454;;;ce.0590663A@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590080400026;;50.4573646797851, 3.2832300347376044;SANS OBJET;Nord;Lille;Hauts-de-France;720142.6;7040026.2;EPSG:2154;Circonscription d'inspection du 1er degré de Douai-Rieulay;50.4573646797851;3.2832300347376044;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0590159C;;;0592771S;;;09106;DOUAISIS
0590698N;Ecole maternelle Georges Lefebvre;Ecole;Public;20 avenue du Château;;59222 BOUSIES;59222;59099;Bousies;059;09;32;1;0;;;;0327773883;;;ce.0590698N@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590099400025;;50.150293478589504, 3.617000612503236;SANS OBJET;Nord;Lille;Hauts-de-France;744146.4;7005961.7;EPSG:2154;Circonscription d'inspection du 1er degré d'Avesnes-Le Quesnoy;50.150293478589504;3.617000612503236;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0595172B;;;0592778Z;;;09108;SAMBRE AVESNOIS
0590699P;Ecole primaire du Lugras;Ecole;Public;181 rue du Bois;;59178 BOUSIGNIES;59178;59100;Bousignies;059;09;32;1;1;;;;0327491291;;;ce.0590699P@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590100000020;;50.43458761394835, 3.3445293892421093;SANS OBJET;Nord;Lille;Hauts-de-France;724513.1;7037506.2;EPSG:2154;Circonscription d'inspection du 1er degré de Valenciennes-Saint Amand;50.43458761394835;3.3445293892421093;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0594411Z;;;0592792P;;;09107;VALENCIENNOIS
0590703U;Ecole maternelle Centre;Ecole;Public;Rue Pierre Curie;;59168 BOUSSOIS;59168;59104;Boussois;059;09;32;1;0;;;;0327622068;;;ce.0590703U@ac-lille.fr;1;0;0;;;;;;;;;;;;;REP;;21590104200030;;50.29021361437481, 4.0425594269641705;SANS OBJET;Nord;Lille;Hauts-de-France;774388.0;7021862.5;EPSG:2154;Circonscription d'inspection du 1er degré d'Avesnes-Jeumont;50.29021361437481;4.0425594269641705;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0590109Y;;;0592803B;;;09108;SAMBRE AVESNOIS
0590706X;Ecole primaire Pigeon Vole;Ecole;Public;421 rue de la Place;;59870 BOUVIGNIES;59870;59105;Bouvignies;059;09;32;1;1;;;;0376090490;;;ce.0590706X@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590105900026;;50.43377560991546, 3.246309337512229;SANS OBJET;Nord;Lille;Hauts-de-France;717525.1;7037389.6;EPSG:2154;Circonscription d'inspection du 1er degré de Douai-Rieulay;50.43377560991546;3.246309337512229;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0590159C;;;0592771S;;;09106;DOUAISIS
0590722P;Ecole maternelle Henri Matisse;Ecole;Public;Rue Lucien Mars;;59860 BRUAY SUR L ESCAUT;59860;59112;Bruay-sur-l'Escaut;059;09;32;1;0;;;;0327476475;;;ce.0590722P@ac-lille.fr;1;0;0;;;;;;;;;;;;;REP;;21590112500090;;50.40676795678805, 3.547580635422566;SANS OBJET;Nord;Lille;Hauts-de-France;738981.4;7034488.9;EPSG:2154;Circonscription d'inspection du 1er degré de Valenciennes Bruay;50.40676795678805;3.547580635422566;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0590031N;;;0596786F;;;09107;VALENCIENNOIS
0590724S;Ecole maternelle Daniel Fery;Ecole;Public;Rue des Francs Tireurs;;59860 BRUAY SUR L ESCAUT;59860;59112;Bruay-sur-l'Escaut;059;09;32;1;0;;;;0327476303;;;ce.0590724S@ac-lille.fr;1;0;0;;;;;;;;;;;;;REP;;21590112500116;;50.38937105769742, 3.5263701525914373;SANS OBJET;Nord;Lille;Hauts-de-France;737484.4;7032540.8;EPSG:2154;Circonscription d'inspection du 1er degré de Valenciennes Bruay;50.38937105769742;3.5263701525914373;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0590031N;;;0596786F;;;09107;VALENCIENNOIS
0590738G;Ecole élémentaire Jacques Prévert;Ecole;Public;Rue des Poilus;;59137 BUSIGNY;59137;59118;Busigny;059;09;32;0;1;;;;0327754201;;;ce.0590738G@ac-lille.fr;1;0;1;;;;;;;;;;;;;REP;;21590118200042;;50.03473082491076, 3.4674601688042554;SANS OBJET;Nord;Lille;Hauts-de-France;733523.1;6993021.0;EPSG:2154;Circonscription d'inspection du 1er degré de Cambrai-Le Cateau;50.03473082491076;3.4674601688042554;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0595337F;;;0592777Y;;;09109;CAMBRESIS
0590764K;Ecole maternelle Raymond Gernez;Ecole;Public;23 rue Raymond Gernez;;59400 CAMBRAI;59400;59122;Cambrai;059;09;32;1;0;;;;0327816267;;;ce.0590764K@ac-lille.fr;1;0;0;;;;;;;;;;;;;REP;;21590122400356;;50.16382211517107, 3.243650542436176;SANS OBJET;Nord;Lille;Hauts-de-France;717428.7;7007322.6;EPSG:2154;Circonscription d'inspection du 1er degré de Cambrai-Centre;50.16382211517107;3.243650542436176;Numéro de rue;1956-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0593488W;;;0592767M;;;09109;CAMBRESIS
0590765L;Ecole maternelle du Parc;Ecole;Public;Rue des Soupirs;;59400 CAMBRAI;59400;59122;Cambrai;059;09;32;1;0;;;;0327831398;;;ce.0590765L@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590122400208;;50.17017910692201, 3.2358597529786586;SANS OBJET;Nord;Lille;Hauts-de-France;716869.3;7008028.8;EPSG:2154;Circonscription d'inspection du 1er degré de Cambrai-Centre;50.17017910692201;3.2358597529786586;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0593487V;;;0592767M;;;09109;CAMBRESIS
0590771T;Ecole primaire Jacques Brel;Ecole;Public;11 RUE DU COMTE D'ARTOIS;;59400 CAMBRAI;59400;59122;Cambrai;059;09;32;1;1;;;;0327814944;;;ce.0590771T@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590122400133;;50.17938511625708, 3.217549746917795;SANS OBJET;Nord;Lille;Hauts-de-France;715556.9;7009050.2;EPSG:2154;Circonscription d'inspection du 1er degré de Cambrai-Centre;50.17938511625708;3.217549746917795;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0593487V;;;0592767M;;;09109;CAMBRESIS
0590783F;Ecole primaire Lucie Aubrac;Ecole;Public;2 bis rue d'Ennetières;;59160 CAPINGHEM;59160;59128;Capinghem;059;09;32;1;1;;;;0320108358;;;ce.0590783F@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590128100026;;50.64435420713483, 2.9618806422953607;SANS OBJET;Nord;Lille;Hauts-de-France;697299.1;7060824.4;EPSG:2154;Circonscription d'inspection du 1er degré de Lille2-Lomme;50.64435420713483;2.9618806422953607;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0590131X;;;0592786H;;;09102;LILLE OUEST
0590789M;Ecole élémentaire Joliot-Curie;Ecole;Public;4 rue Joliot-Curie;;59180 CAPPELLE LA GRANDE;59180;59131;Cappelle-la-Grande;059;09;32;0;1;;;;0328600910;;;ce.0590789M@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590131500089;;50.999351084695, 2.381584957255751;SANS OBJET;Nord;Lille;Hauts-de-France;656493.3;7100562.6;EPSG:2154;Circonscription d'inspection du 1er degré de Dunkerque-Bergues;50.999351084695;2.381584957255751;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0595595L;;;0595539A;;;09105;DUNKERQUE FLANDRE
0590798X;Ecole primaire Meresse;Ecole;Public;115 rue Roger Lebon;;59244 CARTIGNIES;59244;59134;Cartignies;059;09;32;1;1;;;;0327576105;;;ce.0590798X@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590134900021;;50.09413913918304, 3.8455594132915136;SANS OBJET;Nord;Lille;Hauts-de-France;760566.2;6999860.7;EPSG:2154;Circonscription d'inspection du 1er degré d'Avesnes-Fourmies;50.09413913918304;3.8455594132915136;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0595176F;;;0594516N;;;09108;SAMBRE AVESNOIS
0590812M;Ecole primaire des Chataigniers;Ecole;Public;36 rue Paul Vaillant Couturier;;59217 CATTENIERES;59217;59138;Cattenières;059;09;32;1;1;;;;0327786826;;;ce.0590812M@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590138000034;;50.13205659448731, 3.334830378826791;SANS OBJET;Nord;Lille;Hauts-de-France;723965.9;7003809.3;EPSG:2154;Circonscription d'inspection du 1er degré de Cambrai-Centre;50.13205659448731;3.334830378826791;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0593488W;;;0592767M;;;09109;CAMBRESIS
0590817T;Ecole maternelle Françoise Dolto;Ecole;Public;15 rue Jacquard;;59540 CAUDRY;59540;59139;Caudry;059;09;32;1;0;;;;0327850048;;;ce.0590817T@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590139800101;;50.125290693824724, 3.40893934706849;SANS OBJET;Nord;Lille;Hauts-de-France;729274.2;7003080.9;EPSG:2154;Circonscription d'inspection du 1er degré de Cambrai-Sud;50.125290693824724;3.40893934706849;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0595277R;;;0593497F;;;09109;CAMBRESIS
0590826C;Ecole primaire Clair Matin;Ecole;Public;86 route Nationale;;59680 CERFONTAINE;59680;59142;Cerfontaine;059;09;32;1;1;;;;0327648537;;;ce.0590826C@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590142200026;;50.26067725230436, 4.025089893443231;SANS OBJET;Nord;Lille;Hauts-de-France;773184.3;7018556.9;EPSG:2154;Circonscription d'inspection du 1er degré d'Avesnes-Jeumont;50.26067725230436;4.025089893443231;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0593681F;;;0592803B;;;09108;SAMBRE AVESNOIS
0590834L;Ecole primaire;Ecole;Public;6 rue de la Mairie;;59147 CHEMY;59147;59145;Chemy;059;09;32;1;1;;;;0320326093;;;ce.0590834L@ac-lille.fr;1;0;0;;;;;;;;;;;;;;;21590145500026;;50.532397706670594, 2.9974595752411806;SANS OBJET;Nord;Lille;Hauts-de-France;699819.6;7048349.3;EPSG:2154;Circonscription d'inspection du 1er degré de Lille3-Séclin;50.532397706670594;2.9974595752411806;Numéro de rue;1965-09-01;2026-08-20;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0593475G;;;0592802A;;;09103;LILLE EST
